ILMNID	CHR	MAPINFO	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C50	C51	C52	C53	C54	C55	C56	C57	C58	C59	C60	C61	C62	C63	C64	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64
cg13869341	chr1	15865	0.971138	0.856406685	0.860257532	0.886879799	0.912465777	0.874736756	0.943924658	0.906351357	0.88990722	0.869162955	0.9798315	0.881396541	0.965619332	0.932264419	0.934304168	0.910311186	0.866119353	0.825571137	0.873597597	0.889766305	0.882333516	0.924805855	0.921325379	0.887092304	0.921435273	0.922574907	0.848365339	0.761810776	0.926917261	0.858905941	0.810192003	0.797709336	0.947540465	0.869062561	0.941426175	0.868923893	0.887435761	0.804865698	0.839329629	0.945332852	0.901571086	0.80696749	0.834490645	0.866361758	0.907702463	0.859019513	0.853275738	0.917599633	0.926331101	0.858893458	0.858634847	0.848895679	0.878924728	0.819705401	0.904355598	0.854993674	0.88250989	0.857158485	0.911525879	0.958078122	0.942204141	0.907399168	0.911962544	0.930497302	0.970771046	0.907020102	0.848758637	0.892384394	0.877818741	0.887821224	0.91839811	0.915717746	0.888237589	0.882636108	0.938183952	0.903027851	0.976957577	0.947144686	0.950455031	0.898585032	0.873604206	0.909457383	0.864256106	0.955138048	0.809443705	0.932032688	0.946882178	0.911478672	0.940993692	0.949343086	0.842885558	0.928707706	0.944098268	0.9379607	0.928122154	0.824701282	0.967723609	0.876133523	0.928316912	0.886552944	0.887976589	0.857527944	0.86098192	0.926732284	0.920846469	0.813817243	0.901498068	0.952017512	0.90784889	0.914234353	0.866894926	0.916487238	0.944416544	0.896469124	0.900464977	0.839952898	0.858343986	0.844363988	0.896196053	0.829327352	0.89616068	0.897937797	0.913072115	0.943018478	0.930029803	0.894214635	0.876722444	0.91831251
cg14008030	chr1	18827	0.630504748	0.63578229	0.87188479	0.803315101	0.612390493	0.67026959	0.647805096	0.727123898	0.570234618	0.659479195	0.759604023	0.700045003	0.799208152	0.678534626	0.725105644	0.695872684	0.594673655	0.610701953	0.638089389	0.775723136	0.64636935	0.684650395	0.689050452	0.790023278	0.754530492	0.626022797	0.642671914	0.722341811	0.703975408	0.564558338	0.546840842	0.658487653	0.84101671	0.758801025	0.733017854	0.646587842	0.631506885	0.544801206	0.600052043	0.763038908	0.63663478	0.585615405	0.494002521	0.565215614	0.785148612	0.615093432	0.693973437	0.709580681	0.76812143	0.568376848	0.661838992	0.697774664	0.620415282	0.62203285	0.658307329	0.536710616	0.598685141	0.54251028	0.543806685	0.651098381	0.721692679	0.563249543	0.673497828	0.707198432	0.648647089	0.752330562	0.753664714	0.668286673	0.575719645	0.669100431	0.576956549	0.73913785	0.585657247	0.640328047	0.648677523	0.644860313	0.672793101	0.670290082	0.637671956	0.632532249	0.578447153	0.597649914	0.602973476	0.678696084	0.624723231	0.694231591	0.654874175	0.74912555	0.712032735	0.744849839	0.606778873	0.643677085	0.65880659	0.619297527	0.676270341	0.654241245	0.718157352	0.669247616	0.637206153	0.714041631	0.579147284	0.621556565	0.587406922	0.643695409	0.635276389	0.614480144	0.690938014	0.68176106	0.783448894	0.61606892	0.595727069	0.659416166	0.626705966	0.557381585	0.654151117	0.700177645	0.590770137	0.612209674	0.592504444	0.679976368	0.646804659	0.633091319	0.57181682	0.678975601	0.615617127	0.649449099	0.577473034	0.664036659
cg12045430	chr1	29407	0.028483434	0.060192137	0.093088021	0.055560655	0.018413887	0.035579267	0.033838617	0.028849558	0.035829609	0.049534148	0.027188733	0.068508587	0.020693475	0.022007111	0.059117786	0.019942016	0.028928447	0.106092215	0.066656628	0.048072612	0.016712457	0.060341459	0.058386424	0.083494924	0.037666082	0.048061219	0.046798469	0.022503457	0.021156269	0.024244536	0.027204279	0.05498719	0.14908438	0.060872824	0.046169195	0.052810392	0.072154835	0.03893253	0.026612799	0.027630578	0.035948528	0.089950058	0.035945315	0.023792904	0.016321783	0.070240695	0.040755997	0.039598337	0.020653004	0.057103147	0.047409361	0.050801228	0.021292086	0.051294622	0.030625447	0.042795657	0.023311265	0.042217475	0.018022671	0.020939697	0.017419124	0.020559543	0.041542511	0.037411026	0.024482507	0.038086911	0.027493105	0.03014451	0.01835917	0.02905856	0.04387238	0.015603663	0.042971069	0.026091935	0.026829961	0.024156372	0.02210754	0.029359335	0.022807188	0.026115503	0.045379237	0.030242242	0.029961191	0.020567249	0.083373007	0.029129269	0.020505681	0.027380859	0.031498137	0.088895538	0.075194651	0.023284263	0.041917779	0.029743184	0.022729368	0.025255971	0.022161243	0.020790436	0.023401682	0.025113135	0.04850701	0.017565765	0.016155861	0.021251944	0.017490587	0.024628569	0.01294762	0.018810735	0.015813958	0.018380096	0.023643719	0.016395177	0.016623305	0.034145033	0.022502432	0.01922249	0.018499704	0.017289583	0.018992956	0.033096837	0.017499556	0.024081208	0.019829216	0.019898923	0.019722601	0.017727603	0.022927155	0.027582601
cg20826792	chr1	29425	0.108951369	0.145820481	0.124423595	0.175869891	0.126384632	0.209318531	0.164411609	0.017608579	0.115569976	0.196767559	0.136580472	0.104044432	0.170972152	0.12847734	0.248843798	0.114593794	0.122387311	0.207683859	0.140787466	0.108956457	0.094729147	0.095194026	0.135619732	0.158163538	0.169766268	0.142643729	0.214587674	0.168280748	0.139009754	0.116883992	0.192946209	0.219033784	0.266723058	0.137816553	0.185468185	0.220806121	0.222474332	0.167937388	0.184714787	0.111824047	0.203863212	0.195430805	0.116173734	0.12280695	0.026445622	0.204476521	0.16916249	0.114909766	0.02089646	0.260356039	0.174676171	0.186517788	0.147663361	0.136030165	0.186845339	0.217755426	0.132169093	0.155081305	0.083734715	0.016924272	0.014591313	0.014206413	0.181863402	0.220248099	0.131586277	0.1169452	0.113615416	0.144824814	0.107528329	0.185398686	0.202571834	0.016763533	0.168467254	0.132586872	0.107455894	0.095679636	0.101121976	0.085551259	0.148043594	0.106475124	0.175056425	0.139057478	0.186422115	0.114664916	0.226406701	0.158290722	0.112819039	0.096521605	0.162867161	0.146412385	0.223963197	0.133378685	0.158692395	0.12136389	0.117427384	0.140054586	0.1131694	0.129027477	0.156280732	0.203374665	0.167405138	0.104707131	0.111149866	0.141186762	0.093679811	0.160682584	0.012438441	0.030973349	0.011324675	0.096079423	0.19918042	0.085940043	0.013071324	0.161465389	0.153671962	0.197758657	0.169344473	0.12534251	0.106777965	0.184445761	0.096662164	0.147181404	0.014434166	0.013707577	0.066908517	0.014605112	0.222857115	0.110925909
cg00381604	chr1	29435	0.015090236	0.033729664	0.013925566	0.01632793	0.024725307	0.026726342	0.020840745	0.056103079	0.019980583	0.019088188	0.021835549	0.020840289	0.016131952	0.015791064	0.021322086	0.013801551	0.020581776	0.032340603	0.026672021	0.017272557	0.014776404	0.020501647	0.016885036	0.018189686	0.019386838	0.023961474	0.02006684	0.014076278	0.011640311	0.012983843	0.019752526	0.024127689	0.021111803	0.018234694	0.016619829	0.017120822	0.012782909	0.017113381	0.02144458	0.013211634	0.018103305	0.02622549	0.028960351	0.022155091	0.051694595	0.0288822	0.019782112	0.01814784	0.034820445	0.021696947	0.020064445	0.023944763	0.015768542	0.021622493	0.021869746	0.025922324	0.024666216	0.021740594	0.022981945	0.038565933	0.05254139	0.034551557	0.027107603	0.019790152	0.015759926	0.02002981	0.014695847	0.020460064	0.020173042	0.025355776	0.027541471	0.045608875	0.020310875	0.017631839	0.017870679	0.018062735	0.01877571	0.014501519	0.017357278	0.017852022	0.025521671	0.020402958	0.01981659	0.021361466	0.042499564	0.014254115	0.017242771	0.022379386	0.019888581	0.026215249	0.042652295	0.014014439	0.016155922	0.016690387	0.015706868	0.020951487	0.021240886	0.022383222	0.021071141	0.017028091	0.01971252	0.022057519	0.024307331	0.016662831	0.017299497	0.02981518	0.041884247	0.040364631	0.056342285	0.02059622	0.035857914	0.019167666	0.034073665	0.014188054	0.023339124	0.024432699	0.020597412	0.023437678	0.017140117	0.025257672	0.017505318	0.023142972	0.034051547	0.054077778	0.026074606	0.049731159	0.019320664	0.024851491
cg20253340	chr1	68849	0.776332905	0.410472956	0.365121922	0.307208579	0.556239263	0.696445717	0.530047244	0.732088006	0.531274511	0.411667721	0.761403046	0.532850304	0.457565838	0.645876656	0.646401942	0.535293657	0.706220724	0.215914139	0.585541402	0.394969703	0.519962748	0.55420399	0.540262688	0.527281968	0.431874733	0.335913932	0.515957697	0.564709831	0.687627954	0.192182142	0.536825401	0.571759768	0.394056275	0.736211827	0.3715414	0.399258863	0.553005745	0.430880816	0.542630851	0.723558182	0.55907741	0.651174195	0.814781891	0.463312845	0.935347018	0.375767774	0.611286819	0.450831205	0.676946664	0.344402571	0.174421819	0.609592298	0.614925789	0.656898388	0.493473144	0.443609637	0.383493686	0.628511687	0.675956743	0.808507456	0.800747145	0.634887624	0.338812017	0.439985278	0.656421726	0.607799013	0.559315535	0.457821082	0.629492017	0.695887948	0.558735518	0.737414456	0.559959037	0.502365867	0.561981546	0.527741263	0.657739509	0.554741276	0.747809122	0.626683901	0.636620264	0.527439588	0.619844295	0.47678488	0.540716155	0.517078514	0.701897222	0.590230144	0.631818959	0.561373512	0.516288225	0.532902134	0.610842829	0.377184929	0.547693595	0.591654304	0.563011136	0.584102699	0.464338674	0.422511144	0.575150633	0.501883383	0.533488183	0.614853182	0.517775482	0.619771119	0.777503844	0.6744002	0.877055616	0.513391513	0.528142961	0.498671913	0.680220837	0.476547045	0.422373027	0.607219018	0.625772233	0.649669093	0.545496982	0.571834185	0.484435364	0.657859085	0.801933962	0.731703118	0.58838429	0.740776436	0.498172747	0.541074045
cg21870274	chr1	69591	0.913628903	0.585984708	0.745969288	0.405556818	0.705583746	0.631605631	0.606668687	0.849926742	0.811285118	0.461668424	0.867129663	0.795566464	0.583634371	0.82830496	0.790576957	0.780022112	0.832956981	0.236587657	0.63143882	0.60426315	0.694572221	0.846899149	0.606707818	0.598527965	0.648692334	0.653759526	0.695220363	0.702640241	0.867465178	0.448034876	0.744641779	0.798473005	0.714907082	0.681667392	0.475558715	0.757134071	0.579807524	0.463133088	0.676398191	0.670753045	0.617513699	0.732356328	0.797140615	0.580721546	0.839326409	0.487215562	0.853915164	0.658412501	0.582453413	0.340914553	0.559429441	0.679451539	0.504270151	0.868903791	0.621550114	0.488662642	0.578660711	0.593926766	0.760274928	0.962379211	0.83859487	0.693340702	0.38975159	0.632493309	0.874969439	0.820635334	0.848016962	0.839738895	0.759921465	0.740777592	0.692383296	0.884554297	0.798544893	0.864814958	0.793451497	0.798192253	0.725818598	0.732395466	0.832592395	0.737207816	0.73083905	0.846574641	0.777932449	0.795597809	0.785515173	0.72423163	0.780389545	0.811579229	0.842055342	0.800355871	0.738873014	0.846715183	0.803043808	0.773252001	0.783432121	0.790000405	0.812364238	0.713280433	0.71852068	0.817650611	0.726872728	0.650870696	0.705237078	0.667342375	0.752046816	0.78831558	0.865015836	0.821777265	0.889232357	0.766791282	0.719475502	0.692028971	0.87444965	0.777883987	0.755152409	0.680488392	0.721076517	0.782317676	0.724453379	0.728520504	0.652194507	0.706898029	0.851215912	0.886164197	0.682577565	0.868161644	0.722996068	0.720444865
cg08477687	chr1	566570	0.69011491	0.398500112	0.713774775	0.519669718	0.487873183	0.814431578	0.451065666	0.726553842	0.815321061	0.431078616	0.858137695	0.455856348	0.486539803	0.768033065	0.794745733	0.567770028	0.64511659	0.455179608	0.78449842	0.663369055	0.392147462	0.629115258	0.441437852	0.729893557	0.441151029	0.576085068	0.456358903	0.678890517	0.843837362	0.361616626	0.617475074	0.636730695	0.742422508	0.633207222	0.581019315	0.374915499	0.218050322	0.152814758	0.543159431	0.523371954	0.456297348	0.545864692	0.292331828	0.567126433	0.884479617	0.324678264	0.661618496	0.684796529	0.822209649	0.241215123	0.55319462	0.446535974	0.218821108	0.746746291	0.635684206	0.601159558	0.456765326	0.505593902	0.468480206	0.68487345	0.788810196	0.69281318	0.401410344	0.397723385	0.703444163	0.544284624	0.727946903	0.567629735	0.292450654	0.82702055	0.318434645	0.879188637	0.848364596	0.680786312	0.494193393	0.707987483	0.736534263	0.654093563	0.741937667	0.511513945	0.636396694	0.744373247	0.533775552	0.594820275	0.328987847	0.416607495	0.718398559	0.755908179	0.628162926	0.645125661	0.53800189	0.688316488	0.784608338	0.607420351	0.532916222	0.718834464	0.801619383	0.464853432	0.451772557	0.544660995	0.315841029	0.198928212	0.609400115	0.269091142	0.435751394	0.539065689	0.66224882	0.821131491	0.844297224	0.397322808	0.461034576	0.590880432	0.829552691	0.330082821	0.36196257	0.364282391	0.398258161	0.618814998	0.630085406	0.178018395	0.291768551	0.539510351	0.807837366	0.706140133	0.465781609	0.662978202	0.289937695	0.229275341
cg00034556	chr1	566731	0.210956588	0.200459593	0.281806044	0.312288511	0.347700241	0.323243754	0.328267619	0.378433126	0.237935866	0.200976212	0.411989655	0.120087304	0.16416848	0.25234934	0.282424382	0.127976328	0.181001835	0.216414552	0.267472436	0.156993442	0.139982231	0.210239767	0.19551247	0.240986249	0.151413684	0.182196073	0.215457918	0.207652644	0.281530749	0.138403374	0.146013871	0.226907269	0.213903964	0.236588985	0.203747776	0.161846147	0.081532575	0.158188835	0.229402012	0.265888634	0.19371079	0.311756219	0.119497988	0.186268732	0.449270153	0.130133964	0.221545454	0.222948667	0.308569172	0.127648726	0.109635655	0.267593593	0.105786786	0.266832597	0.233386797	0.316356231	0.161260518	0.202820242	0.177626308	0.244815385	0.318070531	0.285100984	0.238627763	0.235977869	0.269406278	0.260978178	0.241395201	0.258165125	0.194309899	0.294876513	0.238589922	0.38273463	0.217381843	0.19681821	0.221926982	0.205182354	0.234401163	0.210728092	0.317620803	0.170789931	0.156516622	0.247685368	0.223781715	0.218144081	0.154725916	0.20197029	0.269935567	0.324031267	0.206408854	0.240905631	0.233781159	0.264518134	0.326597228	0.206881287	0.259293695	0.252029195	0.313933417	0.199174212	0.222722747	0.177131669	0.157716724	0.174366315	0.224645371	0.185816188	0.212091167	0.324316243	0.269870976	0.312733957	0.363604544	0.179843693	0.220821539	0.206725992	0.321095177	0.124456953	0.183284252	0.228705569	0.168121966	0.244136684	0.216571406	0.252597301	0.164927414	0.210093645	0.328293298	0.281774155	0.192609927	0.288615415	0.217260902	0.197035222
cg00645010	chr1	567113	0.183652388	0.121727624	0.179609291	0.172551799	0.114349763	0.131109475	0.109581912	0.433848402	0.203799571	0.151457207	0.629521344	0.127978941	0.292862021	0.212591234	0.345318199	0.107561365	0.090646736	0.126148118	0.277376086	0.203829446	0.069130792	0.141283436	0.135803866	0.228233925	0.144089004	0.133681059	0.105397752	0.248263282	0.475992416	0.116466685	0.157902928	0.132420061	0.217535432	0.124339781	0.123366742	0.082246455	0.031983307	0.033258226	0.118827289	0.162903083	0.102449498	0.123352612	0.050123206	0.079762585	0.524079289	0.063871113	0.103459872	0.122953018	0.36199252	0.070590967	0.070526177	0.096034217	0.047498227	0.161279944	0.148754716	0.132647537	0.077898485	0.11665468	0.13689857	0.257991283	0.410103683	0.295868676	0.077734021	0.077774596	0.203315568	0.13273642	0.15369465	0.134767176	0.066853018	0.127556726	0.083816363	0.34630016	0.119101564	0.160522986	0.264038238	0.11417722	0.238247934	0.197443807	0.191695281	0.113603717	0.070608742	0.248037594	0.131311237	0.114225806	0.046092731	0.081642526	0.19747024	0.222905273	0.184894256	0.20631844	0.099045741	0.277086976	0.400452152	0.126416139	0.170020141	0.171277797	0.236099208	0.082376092	0.083029401	0.13345348	0.066303315	0.031604891	0.119883831	0.051588475	0.099980273	0.154066884	0.269413586	0.369413639	0.445375929	0.058829158	0.101137811	0.086521481	0.308649063	0.049119027	0.079060201	0.089083317	0.061990694	0.131084449	0.100562679	0.063724241	0.057203057	0.120577978	0.353630324	0.269917343	0.086961999	0.33415573	0.083463557	0.069007375
